#Companies are listed in decreasing order of the number of missing values in their life span
#<company>	<T1>	<T2>	<#observed in [T1, T2]>	<#missing in [T1, T2]>
692   3888   9335   5448      0
693   3904   9335   5432      0
695   3939   4959   1021      0
696   3939   5728   1790      0
697   3925   8796   4872      0
699   3856   6391   2536      0
700   4000   7592   3593      0
701   3995   8071   4077      0
704   4018   4805    788      0
705   4020   9335   5316      0
707   4034   9335   5302      0
708   4036   6114   2079      0
709   4036   9335   5300      0
711   4064   7477   3414      0
712   4076   9335   5260      0
713   4100   9335   5236      0
714   4104   5945   1842      0
715   4120   9335   5216      0
716   4129   6443   2315      0
717   4115   8008   3894      0
719   4142   9335   5194      0
720   4142   9335   5194      0
721   4145   4424    280      0
722   4154   9335   5182      0
723   4156   9335   5180      0
724   4163   6995   2833      0
725   2376   7567   5192      0
726      1   9335   9335      0
727   4174   9335   5162      0
729   4203   5569   1367      0
730   4215   5492   1278      0
731   4239   8872   4634      0
732   4289   9335   5047      0
735   4324   9335   5012      0
736   4331   9335   5005      0
737   4321   9335   5015      0
738   4335   5413   1079      0
739   4348   9335   4988      0
740   4358   5309    952      0
741   4367   9335   4969      0
742   4381   9335   4955      0
743   4370   9335   4966      0
745   4402   9335   4934      0
748   4418   9335   4918      0
749   4409   6383   1975      0
750   1492   9335   7844      0
751   4424   5982   1559      0
752   4446   6837   2392      0
753   4455   9335   4881      0
754   4484   9335   4852      0
756   4502   5905   1404      0
757   4522   9335   4814      0
758   4519   9335   4817      0
759   4517   4852    336      0
760   4536   8024   3489      0
761   4537   7448   2912      0
762   4531   9335   4805      0
763   4554   9335   4782      0
764   4592   9335   4744      0
765   4614   9335   4722      0
766   4600   9335   4736      0
767   4613   6873   2261      0
768   4624   9335   4712      0
769   4619   7928   3310      0
770   4629   7003   2375      0
771   4644   5934   1291      0
772   1927   6852   4926      0
773   4663   9335   4673      0
774   4673   6033   1361      0
775   4738   8605   3868      0
776   4784   9335   4552      0
777   4789   9335   4547      0
778   4826   7306   2481      0
779   4835   6534   1700      0
780   4840   7879   3040      0
781   4854   7928   3075      0
782   4869   9335   4467      0
783   4876   5998   1123      0
785   4905   5210    306      0
786   4923   9335   4413      0
787   4939   6298   1360      0
788   4938   9335   4398      0
789   4942   9335   4394      0
790   4969   9335   4367      0
791   5001   9335   4335      0
792   5015   9335   4321      0
793   5001   6201   1201      0
794   5015   6497   1483      0
795   5018   9335   4318      0
796   5030   9335   4306      0
797   5021   9335   4315      0
798   5030   9335   4306      0
799   5028   9335   4308      0
800   5026   9335   4310      0
801   5018   6129   1112      0
802   5028   9335   4308      0
803   5042   9335   4294      0
804   5097   9335   4239      0
805   5123   7805   2683      0
806   5123   9335   4213      0
807   5131   9335   4205      0
808   5128   9335   4208      0
809   5146   6299   1154      0
810   5162   9335   4174      0
811   5170   8807   3638      0
812   5168   8240   3073      0
813      1   9335   9335      0
815   5182   7594   2413      0
816   5165   9335   4171      0
818   5216   9335   4120      0
819   5244   9335   4092      0
821   5271   6351   1081      0
822   5271   8618   3348      0
823   5267   5783    517      0
824   5255   7886   2632      0
825   5281   8697   3417      0
826   5288   9335   4048      0
827   5270   9335   4066      0
828   5319   9335   4017      0
829   5298   9335   4038      0
830   5337   9335   3999      0
831   5370   9335   3966      0
832   5414   7715   2302      0
833   5431   8895   3465      0
834   2270   5464   3195      0
835   5423   9335   3913      0
836   5424   7511   2088      0
837   5421   8052   2632      0
838   5463   9335   3873      0
839   5465   9335   3871      0
840   5495   6042    548      0
841   5504   9335   3832      0
842   5500   7070   1571      0
843   5515   9335   3821      0
845   5500   9335   3836      0
846   5539   9335   3797      0
847   2401   9335   6935      0
848   5583   9335   3753      0
849   5592   9335   3744      0
850   2411   6325   3915      0
851   5616   6499    884      0
852   2351   9335   6985      0
853   5636   9335   3700      0
854   5658   9335   3678      0
855   5653   6257    605      0
856   5655   9335   3681      0
857   4046   9335   5290      0
858   5670   9335   3666      0
859   5688   9335   3648      0
860   5668   9335   3668      0
861   5686   9335   3650      0
862   5680   9335   3656      0
863   5684   8872   3189      0
864   5706   9335   3630      0
865   2382   3896   1515      0
867   5718   9335   3618      0
868   5713   7258   1546      0
869   5716   9335   3620      0
870   5721   9335   3615      0
871   5781   7376   1596      0
872   5815   6755    941      0
873   5809   6877   1069      0
874   5829   9335   3507      0
875   5838   9335   3498      0
876   5876   8619   2744      0
877   5897   9335   3439      0
878   5887   7481   1595      0
879   5899   9335   3437      0
880   5905   9335   3431      0
881   5928   9335   3408      0
882   5921   9335   3415      0
883   5931   7011   1081      0
884   5936   9335   3400      0
886   2506   9335   6830      0
887   2380   6046   3667      0
888   4883   9335   4453      0
889   5973   9335   3363      0
890   5968   9335   3368      0
891   6029   8802   2774      0
892   6024   9335   3312      0
893   6038   9335   3298      0
894   6032   9335   3304      0
895   6131   9335   3205      0
896   6119   9335   3217      0
897   6109   8705   2597      0
898   2512   9335   6824      0
901   6158   9335   3178      0
902   6161   9335   3175      0
904   6186   7026    841      0
905   6180   9335   3156      0
906   5676   6180    505      0
907   6221   9335   3115      0
909   6305   9335   3031      0
910   6309   9335   3027      0
911   6315   9335   3021      0
912   6346   9335   2990      0
913   6367   9335   2969      0
914   6402   9325   2924      0
915   6449   7276    828      0
916   6433   9335   2903      0
917   6432   9335   2904      0
918   6445   9335   2891      0
919   6466   9335   2870      0
920   6522   9335   2814      0
921   6532   9335   2804      0
923   6666   9335   2670      0
924   6676   9335   2660      0
925   6692   9335   2644      0
926   6791   9335   2545      0
927   6823   7310    488      0
928   6806   9335   2530      0
929   6979   9147   2169      0
930   5786   9335   3550      0
931   7027   7959    933      0
932   7050   7958    909      0
933   7066   9335   2270      0
934   7059   7394    336      0
935   7079   9335   2257      0
936   7155   9335   2181      0
937   7196   9335   2140      0
939   7207   7616    410      0
940   7230   9335   2106      0
942   7276   9335   2060      0
943   7314   9335   2022      0
944   2460   9335   6876      0
945   2288   8913   6626      0
946   2361   7456   5096      0
947   7444   9335   1892      0
949   7475   9335   1861      0
950   7477   9335   1859      0
951   7549   9335   1787      0
952   7545   9335   1791      0
953   7564   9335   1772      0
954   7620   9335   1716      0
955   7675   9335   1661      0
956   2420   7594   5175      0
957   7721   7891    171      0
958   7798   9335   1538      0
959   7787   9329   1543      0
960   7935   9335   1401      0
961   7967   9335   1369      0
962   8099   9335   1237      0
963   8131   9335   1205      0
964   8165   9335   1171      0
965   2225   9335   7111      0
966   8167   9335   1169      0
967   8358   9335    978      0
968   8568   9335    768      0
969   8577   9335    759      0
970   8707   9335    629      0
