#<date in matlab serial format>	<date in the format dd mmm yyyy>	<time index>
722377	19 Oct 1977	455
722378	20 Oct 1977	456
722379	21 Oct 1977	457
722382	24 Oct 1977	458
722383	25 Oct 1977	459
722384	26 Oct 1977	460
722385	27 Oct 1977	461
722386	28 Oct 1977	462
722389	31 Oct 1977	463
722390	01 Nov 1977	464
722391	02 Nov 1977	465
722392	03 Nov 1977	466
722393	04 Nov 1977	467
722396	07 Nov 1977	468
722397	08 Nov 1977	469
722398	09 Nov 1977	470
722399	10 Nov 1977	471
722400	11 Nov 1977	472
722403	14 Nov 1977	473
722404	15 Nov 1977	474
722405	16 Nov 1977	475
722406	17 Nov 1977	476
722407	18 Nov 1977	477
722410	21 Nov 1977	478
722411	22 Nov 1977	479
722412	23 Nov 1977	480
722414	25 Nov 1977	481
722417	28 Nov 1977	482
722418	29 Nov 1977	483
722419	30 Nov 1977	484
722420	01 Dec 1977	485
722421	02 Dec 1977	486
722424	05 Dec 1977	487
722425	06 Dec 1977	488
722426	07 Dec 1977	489
722427	08 Dec 1977	490
722428	09 Dec 1977	491
722431	12 Dec 1977	492
722432	13 Dec 1977	493
722433	14 Dec 1977	494
722434	15 Dec 1977	495
722435	16 Dec 1977	496
722438	19 Dec 1977	497
722439	20 Dec 1977	498
722440	21 Dec 1977	499
722441	22 Dec 1977	500
722442	23 Dec 1977	501
722446	27 Dec 1977	502
722447	28 Dec 1977	503
722448	29 Dec 1977	504
722449	30 Dec 1977	505
722453	03 Jan 1978	506
722454	04 Jan 1978	507
722455	05 Jan 1978	508
722456	06 Jan 1978	509
722459	09 Jan 1978	510
722460	10 Jan 1978	511
722461	11 Jan 1978	512
722462	12 Jan 1978	513
722463	13 Jan 1978	514
722466	16 Jan 1978	515
722467	17 Jan 1978	516
722468	18 Jan 1978	517
722469	19 Jan 1978	518
722470	20 Jan 1978	519
722473	23 Jan 1978	520
722474	24 Jan 1978	521
722475	25 Jan 1978	522
722476	26 Jan 1978	523
722477	27 Jan 1978	524
722480	30 Jan 1978	525
722481	31 Jan 1978	526
722482	01 Feb 1978	527
722483	02 Feb 1978	528
722484	03 Feb 1978	529
722487	06 Feb 1978	530
722488	07 Feb 1978	531
722489	08 Feb 1978	532
722490	09 Feb 1978	533
722491	10 Feb 1978	534
722494	13 Feb 1978	535
722495	14 Feb 1978	536
722496	15 Feb 1978	537
722497	16 Feb 1978	538
722498	17 Feb 1978	539
722502	21 Feb 1978	540
722503	22 Feb 1978	541
722504	23 Feb 1978	542
722505	24 Feb 1978	543
722508	27 Feb 1978	544
722509	28 Feb 1978	545
722510	01 Mar 1978	546
722511	02 Mar 1978	547
722512	03 Mar 1978	548
722515	06 Mar 1978	549
722516	07 Mar 1978	550
722517	08 Mar 1978	551
722518	09 Mar 1978	552
722519	10 Mar 1978	553
722522	13 Mar 1978	554
722523	14 Mar 1978	555
722524	15 Mar 1978	556
722525	16 Mar 1978	557
722526	17 Mar 1978	558
722529	20 Mar 1978	559
722530	21 Mar 1978	560
722531	22 Mar 1978	561
722532	23 Mar 1978	562
722536	27 Mar 1978	563
722537	28 Mar 1978	564
722538	29 Mar 1978	565
722539	30 Mar 1978	566
722540	31 Mar 1978	567
722543	03 Apr 1978	568
722544	04 Apr 1978	569
722545	05 Apr 1978	570
722546	06 Apr 1978	571
722547	07 Apr 1978	572
722550	10 Apr 1978	573
722551	11 Apr 1978	574
722552	12 Apr 1978	575
722553	13 Apr 1978	576
722554	14 Apr 1978	577
722557	17 Apr 1978	578
722558	18 Apr 1978	579
722559	19 Apr 1978	580
722560	20 Apr 1978	581
722561	21 Apr 1978	582
722564	24 Apr 1978	583
722565	25 Apr 1978	584
722566	26 Apr 1978	585
722567	27 Apr 1978	586
722568	28 Apr 1978	587
722571	01 May 1978	588
722572	02 May 1978	589
722573	03 May 1978	590
722574	04 May 1978	591
722575	05 May 1978	592
722578	08 May 1978	593
722579	09 May 1978	594
722580	10 May 1978	595
722581	11 May 1978	596
722582	12 May 1978	597
722585	15 May 1978	598
722586	16 May 1978	599
722587	17 May 1978	600
722588	18 May 1978	601
722589	19 May 1978	602
722592	22 May 1978	603
722593	23 May 1978	604
722594	24 May 1978	605
722595	25 May 1978	606
722596	26 May 1978	607
722600	30 May 1978	608
722601	31 May 1978	609
722602	01 Jun 1978	610
722603	02 Jun 1978	611
722606	05 Jun 1978	612
722607	06 Jun 1978	613
722608	07 Jun 1978	614
722609	08 Jun 1978	615
722610	09 Jun 1978	616
722613	12 Jun 1978	617
722614	13 Jun 1978	618
722615	14 Jun 1978	619
722616	15 Jun 1978	620
722617	16 Jun 1978	621
722620	19 Jun 1978	622
722621	20 Jun 1978	623
722622	21 Jun 1978	624
722623	22 Jun 1978	625
722624	23 Jun 1978	626
722627	26 Jun 1978	627
722628	27 Jun 1978	628
722629	28 Jun 1978	629
722630	29 Jun 1978	630
722631	30 Jun 1978	631
722634	03 Jul 1978	632
722636	05 Jul 1978	633
722637	06 Jul 1978	634
722638	07 Jul 1978	635
722641	10 Jul 1978	636
722642	11 Jul 1978	637
722643	12 Jul 1978	638
722644	13 Jul 1978	639
722645	14 Jul 1978	640
722648	17 Jul 1978	641
722649	18 Jul 1978	642
722650	19 Jul 1978	643
722651	20 Jul 1978	644
722652	21 Jul 1978	645
722655	24 Jul 1978	646
722656	25 Jul 1978	647
722657	26 Jul 1978	648
722658	27 Jul 1978	649
722659	28 Jul 1978	650
722662	31 Jul 1978	651
722663	01 Aug 1978	652
722664	02 Aug 1978	653
722665	03 Aug 1978	654
722666	04 Aug 1978	655
722669	07 Aug 1978	656
722670	08 Aug 1978	657
722671	09 Aug 1978	658
722672	10 Aug 1978	659
722673	11 Aug 1978	660
722676	14 Aug 1978	661
722677	15 Aug 1978	662
722678	16 Aug 1978	663
722679	17 Aug 1978	664
722680	18 Aug 1978	665
722683	21 Aug 1978	666
722684	22 Aug 1978	667
722685	23 Aug 1978	668
722686	24 Aug 1978	669
722687	25 Aug 1978	670
722690	28 Aug 1978	671
722691	29 Aug 1978	672
722692	30 Aug 1978	673
722693	31 Aug 1978	674
722694	01 Sep 1978	675
722698	05 Sep 1978	676
722699	06 Sep 1978	677
722700	07 Sep 1978	678
722701	08 Sep 1978	679
722704	11 Sep 1978	680
722705	12 Sep 1978	681
722706	13 Sep 1978	682
722707	14 Sep 1978	683
722708	15 Sep 1978	684
722711	18 Sep 1978	685
722712	19 Sep 1978	686
722713	20 Sep 1978	687
722714	21 Sep 1978	688
722715	22 Sep 1978	689
722718	25 Sep 1978	690
722719	26 Sep 1978	691
722720	27 Sep 1978	692
722721	28 Sep 1978	693
722722	29 Sep 1978	694
722725	02 Oct 1978	695
722726	03 Oct 1978	696
722727	04 Oct 1978	697
722728	05 Oct 1978	698
722729	06 Oct 1978	699
722732	09 Oct 1978	700
722733	10 Oct 1978	701
722734	11 Oct 1978	702
722735	12 Oct 1978	703
722736	13 Oct 1978	704
722739	16 Oct 1978	705
722740	17 Oct 1978	706
722741	18 Oct 1978	707
722742	19 Oct 1978	708
722743	20 Oct 1978	709
722746	23 Oct 1978	710
722747	24 Oct 1978	711
722748	25 Oct 1978	712
722749	26 Oct 1978	713
722750	27 Oct 1978	714
722753	30 Oct 1978	715
722754	31 Oct 1978	716
722755	01 Nov 1978	717
722756	02 Nov 1978	718
722757	03 Nov 1978	719
722760	06 Nov 1978	720
722761	07 Nov 1978	721
722762	08 Nov 1978	722
722763	09 Nov 1978	723
722764	10 Nov 1978	724
722767	13 Nov 1978	725
722768	14 Nov 1978	726
722769	15 Nov 1978	727
722770	16 Nov 1978	728
722771	17 Nov 1978	729
722774	20 Nov 1978	730
722775	21 Nov 1978	731
722776	22 Nov 1978	732
722778	24 Nov 1978	733
722781	27 Nov 1978	734
722782	28 Nov 1978	735
722783	29 Nov 1978	736
722784	30 Nov 1978	737
722785	01 Dec 1978	738
722788	04 Dec 1978	739
722789	05 Dec 1978	740
722790	06 Dec 1978	741
722791	07 Dec 1978	742
722792	08 Dec 1978	743
722795	11 Dec 1978	744
722796	12 Dec 1978	745
722797	13 Dec 1978	746
722798	14 Dec 1978	747
722799	15 Dec 1978	748
722802	18 Dec 1978	749
722803	19 Dec 1978	750
722804	20 Dec 1978	751
722805	21 Dec 1978	752
722806	22 Dec 1978	753
722810	26 Dec 1978	754
722811	27 Dec 1978	755
722812	28 Dec 1978	756
722813	29 Dec 1978	757
722817	02 Jan 1979	758
722818	03 Jan 1979	759
722819	04 Jan 1979	760
722820	05 Jan 1979	761
722823	08 Jan 1979	762
722824	09 Jan 1979	763
722825	10 Jan 1979	764
722826	11 Jan 1979	765
722827	12 Jan 1979	766
722830	15 Jan 1979	767
722831	16 Jan 1979	768
722832	17 Jan 1979	769
722833	18 Jan 1979	770
722834	19 Jan 1979	771
722837	22 Jan 1979	772
722838	23 Jan 1979	773
722839	24 Jan 1979	774
722840	25 Jan 1979	775
722841	26 Jan 1979	776
722844	29 Jan 1979	777
722845	30 Jan 1979	778
722846	31 Jan 1979	779
722847	01 Feb 1979	780
722848	02 Feb 1979	781
722851	05 Feb 1979	782
722852	06 Feb 1979	783
722853	07 Feb 1979	784
722854	08 Feb 1979	785
722855	09 Feb 1979	786
722858	12 Feb 1979	787
722859	13 Feb 1979	788
722860	14 Feb 1979	789
722861	15 Feb 1979	790
722862	16 Feb 1979	791
722866	20 Feb 1979	792
722867	21 Feb 1979	793
722868	22 Feb 1979	794
722869	23 Feb 1979	795
722872	26 Feb 1979	796
722873	27 Feb 1979	797
722874	28 Feb 1979	798
722875	01 Mar 1979	799
722876	02 Mar 1979	800
722879	05 Mar 1979	801
722880	06 Mar 1979	802
722881	07 Mar 1979	803
722882	08 Mar 1979	804
722883	09 Mar 1979	805
722886	12 Mar 1979	806
722887	13 Mar 1979	807
722888	14 Mar 1979	808
722889	15 Mar 1979	809
722890	16 Mar 1979	810
722893	19 Mar 1979	811
722894	20 Mar 1979	812
722895	21 Mar 1979	813
722896	22 Mar 1979	814
722897	23 Mar 1979	815
722900	26 Mar 1979	816
722901	27 Mar 1979	817
722902	28 Mar 1979	818
722903	29 Mar 1979	819
722904	30 Mar 1979	820
722907	02 Apr 1979	821
722908	03 Apr 1979	822
722909	04 Apr 1979	823
722910	05 Apr 1979	824
722911	06 Apr 1979	825
722914	09 Apr 1979	826
722915	10 Apr 1979	827
722916	11 Apr 1979	828
722917	12 Apr 1979	829
722921	16 Apr 1979	830
722922	17 Apr 1979	831
722923	18 Apr 1979	832
722924	19 Apr 1979	833
722925	20 Apr 1979	834
722928	23 Apr 1979	835
722929	24 Apr 1979	836
722930	25 Apr 1979	837
722931	26 Apr 1979	838
722932	27 Apr 1979	839
722935	30 Apr 1979	840
722936	01 May 1979	841
722937	02 May 1979	842
722938	03 May 1979	843
722939	04 May 1979	844
722942	07 May 1979	845
722943	08 May 1979	846
722944	09 May 1979	847
722945	10 May 1979	848
722946	11 May 1979	849
722949	14 May 1979	850
722950	15 May 1979	851
722951	16 May 1979	852
722952	17 May 1979	853
722953	18 May 1979	854
722956	21 May 1979	855
722957	22 May 1979	856
722958	23 May 1979	857
722959	24 May 1979	858
722960	25 May 1979	859
722964	29 May 1979	860
722965	30 May 1979	861
722966	31 May 1979	862
722967	01 Jun 1979	863
722970	04 Jun 1979	864
722971	05 Jun 1979	865
722972	06 Jun 1979	866
722973	07 Jun 1979	867
722974	08 Jun 1979	868
722977	11 Jun 1979	869
722978	12 Jun 1979	870
722979	13 Jun 1979	871
722980	14 Jun 1979	872
722981	15 Jun 1979	873
722984	18 Jun 1979	874
722985	19 Jun 1979	875
722986	20 Jun 1979	876
722987	21 Jun 1979	877
722988	22 Jun 1979	878
722991	25 Jun 1979	879
722992	26 Jun 1979	880
722993	27 Jun 1979	881
722994	28 Jun 1979	882
722995	29 Jun 1979	883
